Column1;Column2;Column3
feature;max;min
0;0.2676379084587097;-0.2994062602519989
1;0.5636212229728699;-0.48773109912872314
2;0.30071496963500977;-0.45956701040267944
3;0.2273661494255066;-0.32896602153778076
4;0.21509847044944763;-0.32183128595352173
5;0.4910072088241577;-0.432155966758728
6;0.8488065004348755;-1.0969488620758057
7;0.2853517532348633;-0.28868141770362854
8;0.5811318159103394;-0.32251739501953125
9;0.35143977403640747;-0.35644739866256714
10;0.3556951880455017;-0.5151585340499878
11;0.5062826871871948;-0.247982457280159
12;0.32020020484924316;-0.47705960273742676
13;0.49718308448791504;-0.7308052182197571
14;0.14604507386684418;-0.2431459128856659
15;0.2763357162475586;-0.19544866681098938
16;0.37506645917892456;-0.3024900555610657
17;0.33717265725135803;-0.22711776196956635
18;0.16221413016319275;-0.3073890507221222
19;0.2718202471733093;-0.33045539259910583
20;0.269258588552475;-0.4495992362499237
21;0.439191073179245;-0.4461632966995239
22;0.3169814944267273;-0.27307459712028503
23;0.509735107421875;-0.6118971109390259
24;0.26933613419532776;-0.20989708602428436
25;0.4667900800704956;-0.37364768981933594
26;0.33991628885269165;-0.30979400873184204
27;0.2853868007659912;-0.30304598808288574
28;0.23126940429210663;-0.3054574131965637
29;0.23778608441352844;-0.2614612579345703
30;0.17267462611198425;-0.24739311635494232
31;0.23344606161117554;-0.42513757944107056
32;0.2658250033855438;-0.3038126826286316
33;0.3270331621170044;-0.38205042481422424
34;0.46058493852615356;-0.395375519990921
35;0.2899583876132965;-0.36319500207901
36;0.3538021147251129;-0.5477756261825562
37;0.24449387192726135;-0.20520615577697754
38;0.5350022315979004;-0.3554325997829437
39;0.39634114503860474;-0.2583066523075104
40;0.21703386306762695;-0.18157196044921875
41;0.29889822006225586;-0.2506231963634491
42;0.2954803705215454;-0.19740693271160126
43;0.27486443519592285;-0.42737719416618347
44;0.2710252106189728;-0.401689350605011
45;0.2804754376411438;-0.4222606420516968
46;0.23972320556640625;-0.21712490916252136
47;0.35736918449401855;-0.34627071022987366
48;0.35250768065452576;-0.43600133061408997
49;0.648641049861908;-0.601088285446167
50;0.3269249200820923;-0.3593921661376953
51;0.3075781762599945;-0.3920494019985199
52;0.8075735569000244;-0.5225598812103271
53;0.26352667808532715;-0.28248894214630127
54;0.32484591007232666;-0.37823963165283203
55;0.30836665630340576;-0.2807002663612366
56;0.5474072694778442;-0.4753556549549103
57;0.2930337190628052;-0.2988892197608948
58;0.2600593864917755;-0.2118891477584839
59;0.2804785966873169;-0.18303048610687256
60;0.3394268751144409;-0.4069669842720032
61;0.4735889136791229;-0.30855631828308105
62;0.23804625868797302;-0.4513360857963562
63;0.2992726266384125;-0.32641279697418213
64;0.41776466369628906;-0.29449379444122314
65;0.43845245242118835;-0.2147042453289032
66;0.27284759283065796;-0.2607532739639282
67;0.607850193977356;-0.29096105694770813
68;0.26036930084228516;-0.23606714606285095
69;0.7514373064041138;-0.5298181772232056
70;0.3213534951210022;-0.35271313786506653
71;0.3850488066673279;-0.6117401123046875
72;0.5335336327552795;-0.3173256516456604
73;0.297712504863739;-0.39739540219306946
74;0.40030455589294434;-0.5763084888458252
75;1.430058479309082;-1.8208414316177368
76;0.579625129699707;-0.20676369965076447
77;0.43666592240333557;-0.48280051350593567
78;0.46926769614219666;-0.4130631685256958
79;0.2813863158226013;-0.41098201274871826
80;0.13512198626995087;-0.16328303515911102
81;0.43149906396865845;-0.37812942266464233
82;0.40895551443099976;-0.24661442637443542
83;0.6084149479866028;-0.3346920311450958
84;0.2722374200820923;-0.33460599184036255
85;0.24497665464878082;-0.31050851941108704
86;0.29028141498565674;-0.41869500279426575
87;0.32694104313850403;-0.3490133583545685
88;0.7921084761619568;-0.558776319026947
