feature,max,min
0,0.3316696286201477,-0.26438555121421814
1,0.3658491373062134,-0.28617048263549805
2,0.4327378273010254,-0.4375622868537903
3,0.30263206362724304,-0.3117147982120514
4,0.19922307133674622,-0.2950524091720581
5,0.3395047187805176,-0.39109301567077637
6,0.9053341150283813,-0.6802046298980713
7,0.36988434195518494,-0.2311580926179886
8,0.5238697528839111,-0.6152687072753906
9,0.4038400650024414,-0.35289713740348816
10,0.26280471682548523,-0.31475508213043213
11,0.37635695934295654,-0.3183305859565735
12,0.5583676099777222,-0.3476932942867279
13,0.37799012660980225,-0.6160370111465454
14,0.19399529695510864,-0.18989111483097076
15,0.20278704166412354,-0.21379318833351135
16,0.44361793994903564,-0.33897560834884644
17,0.2988194525241852,-0.34386032819747925
18,0.2348158359527588,-0.3274683356285095
19,0.36520129442214966,-0.2542038559913635
20,0.2941744327545166,-0.32633107900619507
21,0.3766974210739136,-0.5132442712783813
22,0.34984004497528076,-0.32302945852279663
23,0.5120546817779541,-0.72469162940979
24,0.23876552283763885,-0.3908172845840454
25,0.36845824122428894,-0.27575814723968506
26,0.5322624444961548,-0.4195878207683563
27,0.2716884911060333,-0.2612796425819397
28,0.3534906804561615,-0.34397411346435547
29,0.280184805393219,-0.28079527616500854
30,0.14776000380516052,-0.2882390022277832
31,0.34535935521125793,-0.27891218662261963
32,0.29503923654556274,-0.2538592517375946
33,0.46996498107910156,-0.354642391204834
34,0.45043933391571045,-0.42250192165374756
35,0.2806483507156372,-0.22288459539413452
36,0.4400228261947632,-0.5916522145271301
37,0.2348170131444931,-0.205570250749588
38,0.440624475479126,-0.30187246203422546
39,0.2984957993030548,-0.35126006603240967
40,0.29860496520996094,-0.16251404583454132
41,0.2642466425895691,-0.3425702154636383
42,0.28131118416786194,-0.2809235155582428
43,0.290765643119812,-0.4416506290435791
44,0.25571656227111816,-0.5663849115371704
45,0.2936732769012451,-0.46422451734542847
46,0.2173977643251419,-0.1966325342655182
47,0.23178444802761078,-0.4451431334018707
48,0.5356569290161133,-0.39566388726234436
49,0.6028811931610107,-0.7910804748535156
50,0.3726869821548462,-0.34170711040496826
51,0.3371173143386841,-0.2643094062805176
52,0.6950991153717041,-0.3830934762954712
53,0.34339195489883423,-0.21877151727676392
54,0.5492830872535706,-0.27329251170158386
55,0.26869136095046997,-0.2988780736923218
56,0.7443720102310181,-0.8033795356750488
57,0.329643577337265,-0.36354976892471313
58,0.21256671845912933,-0.31739139556884766
59,0.22258152067661285,-0.30231624841690063
60,0.452812522649765,-0.233690083026886
61,0.42631763219833374,-0.46601513028144836
62,0.32568368315696716,-0.5442124009132385
63,0.4464358389377594,-0.23294883966445923
64,0.4373777508735657,-0.29087015986442566
65,0.3491610288619995,-0.3207140266895294
66,0.2185799479484558,-0.16048090159893036
67,0.49679285287857056,-0.34205374121665955
68,0.2845512628555298,-0.3682267665863037
69,0.7456931471824646,-0.775050163269043
70,0.5058445930480957,-0.4794236421585083
71,0.28547078371047974,-0.48597002029418945
72,0.3163090944290161,-0.3325744867324829
73,0.18418262898921967,-0.3720294237136841
74,0.42470693588256836,-0.5462471842765808
75,1.2531824111938477,-0.9394841194152832
76,0.5153011083602905,-0.246730238199234
77,0.26844584941864014,-0.5920705199241638
78,0.47374850511550903,-0.3326050043106079
79,0.28694605827331543,-0.3975239396095276
80,0.34581509232521057,-0.22250334918498993
81,0.24045982956886292,-0.42149221897125244
82,0.6304575204849243,-0.4114823341369629
83,0.3200036287307739,-0.24784371256828308
84,0.28948891162872314,-0.37491199374198914
85,0.4252684414386749,-0.5259655714035034
86,0.31113067269325256,-0.32085078954696655
87,0.24773404002189636,-0.45663079619407654
88,0.6953856945037842,-0.5243046879768372
89,0.37836217880249023,-0.26868921518325806
90,0.15288111567497253,-0.5328649878501892
91,0.46640095114707947,-0.39724957942962646
92,0.6972116827964783,-0.46513766050338745
93,0.20573215186595917,-0.48855912685394287
94,0.44483691453933716,-0.277975857257843
95,0.2883491814136505,-0.2080519199371338
96,0.20855611562728882,-0.16558682918548584
97,0.33516502380371094,-0.28798002004623413
98,2.0042476654052734,-1.96141517162323
99,0.7031422853469849,-0.4204406440258026
100,0.34755802154541016,-0.2567631006240845
101,0.43823426961898804,-0.5862436890602112
102,0.5128163695335388,-0.3483089208602905
103,1.9800217151641846,-1.827225923538208
104,0.5872451066970825,-0.2783595323562622
105,0.2765212953090668,-0.2498617172241211
106,0.38749635219573975,-0.3660779595375061
107,0.2551918029785156,-0.27352938055992126
108,0.2979176342487335,-0.25800621509552
109,0.29281967878341675,-0.30629974603652954
110,0.40555912256240845,-0.28106945753097534
111,0.454392671585083,-0.48874083161354065
112,0.4697834849357605,-0.5355428457260132
113,0.46252214908599854,-0.39130598306655884
114,1.824141263961792,-2.551638603210449
115,0.3442886471748352,-0.6006739139556885
116,0.6765995025634766,-0.33015167713165283
117,0.262982040643692,-0.32604557275772095
118,0.4537526071071625,-0.4059840738773346
119,2.655507802963257,-2.7727770805358887
120,0.23508018255233765,-0.30634191632270813
