feature,max,min
0,0.2863268256187439,-0.3493565618991852
1,0.4243335723876953,-0.49345648288726807
2,0.2581680715084076,-0.4783232808113098
3,0.274021178483963,-0.2758736312389374
4,0.2323300689458847,-0.42306673526763916
5,0.4177296757698059,-0.4805746078491211
6,0.5495634078979492,-0.7001251578330994
7,0.2831636071205139,-0.36288249492645264
8,0.8127225637435913,-0.5613721609115601
9,0.4800659716129303,-0.40246155858039856
10,0.2987767159938812,-0.29532381892204285
11,0.6024720668792725,-0.30639687180519104
12,0.35588616132736206,-0.4956286549568176
13,0.41795551776885986,-0.8827509880065918
14,0.15923506021499634,-0.22634659707546234
15,0.26476871967315674,-0.28929591178894043
16,0.5004333257675171,-0.4226994216442108
17,0.2876381278038025,-0.3406856060028076
18,0.18648305535316467,-0.2434716373682022
19,0.2720169425010681,-0.3435218632221222
20,0.38061001896858215,-0.37262576818466187
21,0.35685795545578003,-0.4429129362106323
22,0.26376569271087646,-0.278028666973114
23,0.5528974533081055,-0.5047290325164795
24,0.3409267067909241,-0.2678944766521454
25,0.391176700592041,-0.6187261343002319
26,0.28836822509765625,-0.36239442229270935
27,0.2502489984035492,-0.32528072595596313
28,0.3021377921104431,-0.23799240589141846
29,0.18485909700393677,-0.29313620924949646
30,0.25253763794898987,-0.27221816778182983
31,0.39508557319641113,-0.4078810214996338
32,0.24622216820716858,-0.37595224380493164
33,0.37605947256088257,-0.48706284165382385
34,0.3821190297603607,-0.42767366766929626
35,0.302461177110672,-0.2026675045490265
36,0.5009845495223999,-0.4298795461654663
37,0.18629758059978485,-0.2835589051246643
38,0.4096223711967468,-0.3211202025413513
39,0.2460576295852661,-0.39777421951293945
40,0.2993822693824768,-0.16499164700508118
41,0.3982391953468323,-0.3483884334564209
42,0.24927042424678802,-0.27557116746902466
43,0.32449936866760254,-0.4629054665565491
44,0.4803973436355591,-0.45331698656082153
45,0.30978256464004517,-0.5341348648071289
46,0.20688769221305847,-0.3615489900112152
47,0.3576344847679138,-0.3469535708427429
48,0.49860531091690063,-0.48924776911735535
49,0.8887572288513184,-0.6494601368904114
50,0.29016655683517456,-0.33343270421028137
51,0.4404037296772003,-0.2180168330669403
52,0.9770911931991577,-0.6664533615112305
53,0.2078656107187271,-0.23802554607391357
54,0.44855180382728577,-0.38413166999816895
55,0.27441295981407166,-0.4409227967262268
56,0.5744947195053101,-0.8378005027770996
57,0.7136197090148926,-0.4164991080760956
58,0.2784816026687622,-0.37951505184173584
